date,period,name,title,type,link
20190722,151,沈志藏,臺北大眾捷運股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=54453
20190315,142,沈志藏,臺北大眾捷運股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=51609
20180622,136,莊明聰,臺北大眾捷運股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=56171
20121228,49,莊明聰,臺北大眾捷運股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=20327
