date,period,name,title,type,link
20220527,191,范以端,中央存款保險股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=64258
20211208,181,范以端,中央存款保險股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=63084
20210709,179,范以端,中央存款保險股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=62300
20190930,153,范以端,中央存款保險股份有限公司_副總經理,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=56661
