date,period,name,title,type,link
20220513,189,吳君婷,桃園市政府研究發展考核委員會_主任委員,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=63909
20220513,189,吳君婷,桃園市政府研究發展考核委員會_主任委員,02更補正申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=63968
20210517,176,吳君婷,桃園市政府研究發展考核委員會_主任委員,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=61834
20190930,153,吳君婷,桃園市政府研究發展考核委員會_主任委員,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=56589
